candidate,topic,cwt_archive_hit,mr_material_hit,mr_internal_no_results,mr_hit_count,mr_examples
Katja Hoyer,German history,True,True,False,3,My excellent Conversation with Katja Hoyer :: https://marginalrevolution.com/marginalrevolution/2026/06/my-excellent-conversation-with-katja-hoyer.html | What should I ask Katja Hoyer? :: https://marginalrevolution.com/marginalrevolution/2026/03/what-should-i-ask-katja-hoyer-2.html | What should I ask Katja Hoyer? :: https://marginalrevolution.com/marginalrevolution/2026/03/what-should-i-ask-katja-hoyer.html
Kori Schake,security studies,False,False,False,0,
Misha Glenny,geopolitics,False,False,False,0,
Nadia Schadlow,foreign policy,False,False,False,0,
Niall Ferguson,history,True,True,False,14,"Niall Ferguson on world music :: https://marginalrevolution.com/marginalrevolution/2025/02/niall-ferguson-on-world-music.html | John Cochrane, Niall Ferguson, and H.R. McMaster interview me :: https://marginalrevolution.com/marginalrevolution/2021/11/john-cochrane-niall-ferguson-and-h-r-mcmaster-interview-me.html | My excellent Conversation with Niall Ferguson :: https://marginalrevolution.com/marginalrevolution/2021/07/my-excellent-conversation-with-niall-ferguson.html"
Peter Frankopan,history,False,True,False,2,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2023/03/what-ive-been-reading-237.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2015/09/what-ive-been-reading-60.html
Rana Mitter,China history,False,True,False,2,Best non-fiction books of 2013 :: https://marginalrevolution.com/marginalrevolution/2013/11/best-non-fiction-books-of-2013.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2013/07/what-ive-been-reading-29.html
Robert Tombs,British history,False,True,False,4,"Robert Tombs, *The English and Their History* :: https://marginalrevolution.com/marginalrevolution/2015/01/robert-tombs-the-english-and-their-history.html | What is the best book about each country? :: https://marginalrevolution.com/marginalrevolution/2018/01/best-book-country.html | Best non-fiction books of 2015 :: https://marginalrevolution.com/marginalrevolution/2015/11/best-non-fiction-books-of-2015.html"
Sarah Paine,military history,False,False,False,0,
Serhii Plokhy,Ukrainian history,False,True,False,5,Best non-fiction books of 2021 :: https://marginalrevolution.com/marginalrevolution/2021/11/best-non-fiction-books-of-2021.html | *Nuclear Folly: A History of the Cuban Missile Crisis* :: https://marginalrevolution.com/marginalrevolution/2021/04/nuclear-folly-a-history-of-the-cuban-missile-crisis.html | What is the best book about each country? :: https://marginalrevolution.com/marginalrevolution/2018/01/best-book-country.html
Tom Holland,classical history,True,True,False,6,My excellent Conversation with Tom Holland :: https://marginalrevolution.com/marginalrevolution/2023/03/my-excellent-conversation-with-tom-holland.html | What should I ask Tom Holland? :: https://marginalrevolution.com/marginalrevolution/2022/11/what-should-i-ask-tom-holland.html | My reading program for the half-year to come :: https://marginalrevolution.com/marginalrevolution/2023/01/my-reading-program-for-the-year-to-come.html
Bettany Hughes,history,False,False,False,0,
Amitav Ghosh,literature,False,True,False,2,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2023/10/what-ive-been-reading-243.html | Meta-list of the “best of” books of the year :: https://marginalrevolution.com/marginalrevolution/2008/11/meta-list-of-th.html
Amor Towles,fiction,False,False,False,0,
Claire Messud,fiction,False,True,False,5,Claire Messud’s *The Woman Upstairs* :: https://marginalrevolution.com/marginalrevolution/2013/05/claire-messuds-the-woman-upstairs.html | A very good paragraph and a half :: https://marginalrevolution.com/marginalrevolution/2015/08/a-very-good-paragraph-and-a-half.html | Best fiction books of 2013 :: https://marginalrevolution.com/marginalrevolution/2013/11/best-fiction-books-of-2013-2.html
George Saunders,fiction,False,True,False,2,What is the economic future of literature? :: https://marginalrevolution.com/marginalrevolution/2014/05/what-is-the-economic-future-of-literature.html | Assorted links :: https://marginalrevolution.com/marginalrevolution/2013/02/assorted-links-698.html
Hernan Diaz,fiction,False,False,False,0,
Katie Kitamura,fiction,False,False,False,0,
Merve Emre,literature,False,True,False,5,Wednesday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/12/wednesday-assorted-links-531.html | Tuesday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/04/tuesday-assorted-links-460.html | Sunday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/02/sunday-assorted-links-457.html
Orhan Pamuk,fiction,True,True,False,15,If you read only one book by Orhan Pamuk :: https://marginalrevolution.com/marginalrevolution/2006/10/if_you_only_rea.html | The best fiction in recent times :: https://marginalrevolution.com/marginalrevolution/2022/04/the-best-fiction-in-recent-times.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2017/08/what-ive-been-reading-108.html
Patrick Radden Keefe,nonfiction,False,False,False,0,
Sarah Bakewell,biography,False,True,False,1,*How To Live* :: https://marginalrevolution.com/marginalrevolution/2011/04/how-we-live.html
Ted Chiang,fiction and technology,False,False,False,0,
Vikram Seth,fiction,False,True,False,4,Vikram Seth was once a graduate student in economics at Stanford :: https://marginalrevolution.com/marginalrevolution/2013/07/vikram-seth-was-once-a-graduate-student-in-economics-at-stanford.html | Best fiction books of 2017 :: https://marginalrevolution.com/marginalrevolution/2017/12/best-fiction-books-2017.html | “I spent eleven years not finishing my Ph.d.” :: https://marginalrevolution.com/marginalrevolution/2005/10/i_spent_eleven_.html
A. R. Rahman,music,False,False,False,0,
Bob Lefsetz,music industry,False,False,False,0,
Hikaru Nakamura,chess,False,True,False,2,The greatest gaming performance ever? :: https://marginalrevolution.com/marginalrevolution/2020/08/the-greatest-gaming-performance-ever.html | This year’s Candidates tournament :: https://marginalrevolution.com/marginalrevolution/2016/03/this-years-candidates-tournament.html
Judit Polgar,chess,False,True,False,1,Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/09/monday-assorted-links-472.html
Levy Rozman,chess media,False,False,False,0,
Max Martin,music,False,False,False,0,
Rick Beato,music,False,True,False,1,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2019/03/what-ive-been-reading-139.html
Sasha Velour,performance,False,False,False,0,
Toni Kroos,football,False,False,False,0,
Will Wright,game design,False,True,False,1,Is this why I haven’t become addicted to Civilization? :: https://marginalrevolution.com/marginalrevolution/2007/03/is_this_why_i_h.html
Ari Emanuel,media,False,False,False,0,
Brian Chesky,hospitality,False,False,False,0,
Dylan Field,design software,False,True,False,1,Saturday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/12/saturday-assorted-links-488.html
Jensen Huang,semiconductors,False,True,False,4,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2025/02/what-ive-been-reading-265.html | Simple points on immigration :: https://marginalrevolution.com/marginalrevolution/2025/01/simple-points-on-immigration.html | *The Nvidia Way* :: https://marginalrevolution.com/marginalrevolution/2024/12/the-nvidia-way.html
Marc Lore,consumer technology,False,False,False,0,
Palmer Luckey,defense technology,False,True,False,2,Tuesday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/12/tuesday-assorted-links-548.html | Thursday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/08/thursday-assorted-links-464.html
Patrick Collison,technology,True,True,False,14,Patrick Collison on the Irish Enlightenment :: https://marginalrevolution.com/marginalrevolution/2025/09/patrick-collison-on-the-irish-enlightenment.html | Jony Ive and Patrick Collison :: https://marginalrevolution.com/marginalrevolution/2025/05/jony-ive-and-patrick-collison.html | Patrick Collison on classic novels :: https://marginalrevolution.com/marginalrevolution/2024/12/patrick-collison-on-classic-novels.html
Shyam Sankar,defense technology,False,True,False,2,Tuesday assorted links :: https://marginalrevolution.com/marginalrevolution/2026/02/tuesday-assorted-links-557.html | The Return of the American Model :: https://marginalrevolution.com/marginalrevolution/2025/06/the-return-of-the-american-model.html
Tobi Lutke,commerce,False,False,False,0,
Vlad Tenev,financial technology,False,False,False,0,
Whitney Wolfe Herd,consumer technology,False,False,False,0,
Alex Karp,defense technology,False,True,False,2,Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/12/monday-assorted-links-540.html | Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/08/monday-assorted-links-470.html
David Sacks,technology and politics,False,True,False,2,David Sacks is correct :: https://marginalrevolution.com/marginalrevolution/2025/08/david-sacks-is-correct.html | Saturday assorted links :: https://marginalrevolution.com/marginalrevolution/2026/06/saturday-assorted-links-564.html
Mira Murati,AI,False,False,False,0,
Mustafa Suleyman,AI,False,False,False,0,
Vitalik Buterin,cryptocurrency,True,True,False,15,Praise to Vitalik Buterin! :: https://marginalrevolution.com/marginalrevolution/2021/05/praise-to-vitalik-buterin.html | Vitalik Buterin’s Conversation with me :: https://marginalrevolution.com/marginalrevolution/2020/10/vitalik-buterins-conversation-with-me.html | What should I answer Vitalik Buterin? :: https://marginalrevolution.com/marginalrevolution/2020/10/what-should-i-answer-vitalik-buterin.html
Zvi Mowshowitz,AI analysis,False,True,False,3,"Zvi Mowshowitz covers my podcast with Dwarkesh Patel :: https://marginalrevolution.com/marginalrevolution/2024/02/zvi-moshowitz-covers-my-podcast-with-dwarkesh-patel.html | Hungary incentives of the day :: https://marginalrevolution.com/marginalrevolution/2023/02/hungary-incentives-of-the-day.html | Emergent Ventures winners, eighteenth cohort :: https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html"
Rory Sutherland,advertising,False,True,False,1,Square Dancing Bees and Quadratic Voting :: https://marginalrevolution.com/marginalrevolution/2015/05/square-dancing-bees-and-quadratic-voting.html
